finished_at_iso,name,sim_time_s,src_id,tg_mode,num_aximm_tg,num_aximm_bram,num_axis_tg,num_axis_end,num_write_transactions_cfg,axi_write_size_bytes,axi_write_len_beats,axi_write_bandwidth_cfg_MBps,achieved_write_bandwidth_MBps,write_latency_min,write_latency_max,write_latency_avg,achieved_read_bandwidth_MBps,read_latency_min,read_latency_max,read_latency_avg,write_req_total,read_req_total,num_read_transactions_cfg,axi_clk_period_ps,tg_axi_data_width_bits,endpoint_data_width_bits,qos_read_bw_MBps,qos_write_bw_MBps,qos_avg_burst,test_status
2026-01-07T17:20:02-0600,1to1_small,201,0,rw_interleaved,1,1,0,0,256,32,16,800,802.785400,29,77,73,802.836307,44,70,66,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T17:29:52-0600,1to1_med_small,583,0,rw_interleaved,1,1,0,0,1024,32,16,800,800.694536,29,77,73,800.703744,44,70,66,1152,1152,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T17:53:01-0600,1to1_medium,1384,0,rw_interleaved,1,1,0,0,2560,32,16,800,800.277670,29,77,73,800.281349,44,70,66,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T18:39:53-0600,1to1_large,2807,0,rw_interleaved,1,1,0,0,5120,32,16,800,800.138811,29,77,73,800.140650,44,70,66,5760,5760,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T18:44:44-0600,2to2_small,217,0,rw_interleaved,1,1,0,0,64,32,16,800,805.152458,31,127,107,804.891863,32,158,113,144,144,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T18:44:44-0600,2to2_small,217,1,rw_interleaved,1,1,0,0,64,32,16,800,805.329386,31,122,107,805.580943,30,158,113,144,144,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T18:54:10-0600,2to2_med_small,556,0,rw_interleaved,1,1,0,0,256,32,16,800,801.277312,31,127,108,801.231212,32,158,115,576,576,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T18:54:10-0600,2to2_med_small,556,1,rw_interleaved,1,1,0,0,256,32,16,800,801.321112,31,122,108,801.392585,30,158,115,576,576,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T19:17:12-0600,2to2_medium,1371,0,rw_interleaved,1,1,0,0,640,32,16,800,800.512276,31,127,108,800.486509,32,158,115,1440,1440,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T19:17:12-0600,2to2_medium,1371,1,rw_interleaved,1,1,0,0,640,32,16,800,800.529762,31,122,108,800.554612,32,158,115,1440,1440,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:03:04-0600,2to2_large,2740,0,rw_interleaved,1,1,0,0,1280,32,16,800,800.256056,31,127,108,800.243181,32,158,115,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:03:04-0600,2to2_large,2740,1,rw_interleaved,1,1,0,0,1280,32,16,800,800.264793,31,122,108,800.277210,32,158,115,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:11:46-0600,4to4_small,353,0,rw_interleaved,1,1,0,0,16,32,16,800,808.508662,29,218,176,808.583771,37,270,175,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:11:46-0600,4to4_small,353,1,rw_interleaved,1,1,0,0,16,32,16,800,808.940728,29,208,165,810.258558,29,202,113,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:11:46-0600,4to4_small,353,2,rw_interleaved,1,1,0,0,16,32,16,800,809.429707,29,211,170,811.315918,30,202,121,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:11:46-0600,4to4_small,353,3,rw_interleaved,1,1,0,0,16,32,16,800,810.635870,29,220,178,813.059013,30,270,175,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:24:38-0600,4to4_med_small,752,0,rw_interleaved,1,1,0,0,64,32,16,800,802.138052,29,219,177,802.105712,36,270,174,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:24:38-0600,4to4_med_small,752,1,rw_interleaved,1,1,0,0,64,32,16,800,802.244330,29,208,165,802.526335,29,202,113,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:24:38-0600,4to4_med_small,752,2,rw_interleaved,1,1,0,0,64,32,16,800,802.359882,29,211,171,802.803911,30,202,122,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:24:38-0600,4to4_med_small,752,3,rw_interleaved,1,1,0,0,64,32,16,800,802.655847,29,220,179,803.248431,30,270,176,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:55:20-0600,4to4_medium,1819,0,rw_interleaved,1,1,0,0,160,32,16,800,800.853852,29,220,178,800.840957,36,270,175,720,720,50,1000,512,512,500,500,4,TEST PASSED
2026-01-07T20:55:20-0600,4to4_medium,1819,1,rw_interleaved,1,1,0,0,160,32,16,800,800.896223,29,209,167,801.008623,32,208,114,720,720,50,1000,512,512,500,500,4,TEST PASSED
