tick,cycle,router_id,nocname,nps_type,queue_kind,inport,vc,depth
42000,42,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
42000,42,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
42000,42,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
42000,42,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
43000,43,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
43000,43,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
43000,43,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
43000,43,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
44000,44,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
44000,44,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
44000,44,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
44000,44,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
45000,45,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
45000,45,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
45000,45,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
45000,45,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
46000,46,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
46000,46,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
46000,46,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
46000,46,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
47000,47,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
47000,47,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
47000,47,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
47000,47,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
48000,48,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
48000,48,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
48000,48,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
48000,48,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
49000,49,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
49000,49,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
49000,49,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
49000,49,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
50000,50,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
50000,50,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
50000,50,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
50000,50,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
51000,51,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
51000,51,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
51000,51,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
51000,51,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
52000,52,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
