Source,Target,SourcePort,TargetPort,Channel
DDRMC_X0Y0,NOC_NPS5555_X2Y0,Port0_req,port3_out,1723
NOC_NPS5555_X2Y0,DDRMC_X0Y0,port3_in,Port0_resp,1946
DDRMC_X0Y0,NOC_NPS5555_X3Y1,Port2_req,port1_out,1733
DDRMC_X0Y0,NOC_NPS5555_X3Y1,Port2_resp,port1_in,1948
DDRMC_X0Y0,NOC_NPS5555_X3Y0,Port3_req,port1_out,1729
NOC_NPS5555_X3Y0,DDRMC_X0Y0,port1_in,Port3_resp,1949
NOC_NPS5555_X2Y1,NOC_NPS5555_X4Y1,port2_in,port0_out,1740
NOC_NPS5555_X2Y1,NOC_NPS5555_X4Y1,port2_out,port0_in,1726
NOC_NPS5555_X2Y0,NOC_NPS5555_X4Y0,port2_in,port0_out,1736
NOC_NPS5555_X2Y0,NOC_NPS5555_X4Y0,port2_out,port0_in,1722
NOC_NPS5555_X3Y0,NOC_NPS5555_X5Y0,port2_in,port0_out,1744
NOC_NPS5555_X3Y0,NOC_NPS5555_X5Y0,port2_out,port0_in,1730
NOC_NPS5555_X5Y0,NOC_NPS5555_X7Y0,port2_in,port0_out,1760
NOC_NPS5555_X5Y0,NOC_NPS5555_X7Y0,port2_out,port0_in,1746
NOC_NPS5555_X4Y0,NOC_NPS5555_X6Y0,port2_in,port0_out,1750
NOC_NPS5555_X6Y0,NOC_NPS5555_X4Y0,port0_in,port2_out,1738
NOC_NPS5555_X5Y1,NOC_NPS5555_X7Y2,port2_in,port0_out,1767
NOC_NPS5555_X5Y1,NOC_NPS5555_X7Y2,port2_out,port0_in,1748
NOC_NPS5555_X4Y1,NOC_NPS5555_X6Y2,port2_in,port0_out,1757
NOC_NPS5555_X6Y2,NOC_NPS5555_X4Y1,port0_in,port2_out,1742
NOC_NSU128_X0Y7,NOC_NPS7575_X0Y3,resp,port0_in,1204
NOC_NSU128_X0Y7,NOC_NPS7575_X0Y3,req,port0_out,1208
NOC_NPS7575_X0Y3,NOC_NPS7575_X1Y3,port2_in,port0_out,1212
NOC_NPS7575_X0Y3,NOC_NPS7575_X1Y3,port2_out,port0_in,1209
NOC_NMU128_X0Y12,NOC_NPS7575_X0Y2,req_out,port0_in,1205
NOC_NMU128_X0Y12,NOC_NPS7575_X0Y2,resp_in,port0_out,1206
NOC_NPS7575_X0Y2,NOC_NPS7575_X1Y2,port2_in,port0_out,1210
NOC_NPS7575_X0Y2,NOC_NPS7575_X1Y2,port2_out,port0_in,1207
NOC_NPS7575_X1Y3,NOC_NPS7575_X2Y3,port2_in,port0_out,1216
NOC_NPS7575_X1Y3,NOC_NPS7575_X2Y3,port2_out,port0_in,1213
NOC_NPS7575_X1Y2,NOC_NPS7575_X2Y2,port2_in,port0_out,1214
NOC_NPS7575_X1Y2,NOC_NPS7575_X2Y2,port2_out,port0_in,1211
NOC_NPS7575_X2Y3,NOC_NPS7575_X3Y3,port2_in,port0_out,1220
NOC_NPS7575_X2Y3,NOC_NPS7575_X3Y3,port2_out,port0_in,1217
NOC_NPS7575_X2Y2,NOC_NPS7575_X3Y2,port2_in,port0_out,1218
NOC_NPS7575_X2Y2,NOC_NPS7575_X3Y2,port2_out,port0_in,1215
NOC_NPS7575_X3Y2,NOC_NPP_RPTR_X0Y4,port2_in,port1_out,1224
NOC_NPS7575_X3Y2,NOC_NPP_RPTR_X0Y4,port2_out,port0_in,1219
NOC_NPS7575_X3Y3,NOC_NPP_RPTR_X0Y5,port2_in,port1_out,1226
NOC_NPS7575_X3Y3,NOC_NPP_RPTR_X0Y5,port2_out,port0_in,1221
NOC_NPP_RPTR_X0Y4,NOC_NPS7575_X4Y2,port1_in,port0_out,1228
NOC_NPP_RPTR_X0Y4,NOC_NPS7575_X4Y2,port0_out,port0_in,1225
NOC_NMU_HBM2E_X2Y0,NOC_NPS6_X0Y1,resp_in,port1_out,197
NOC_NMU_HBM2E_X2Y0,NOC_NPS6_X0Y1,req_out,port1_in,442
NOC_NMU_HBM2E_X3Y0,NOC_NPS6_X0Y1,resp_in,port2_out,198
NOC_NMU_HBM2E_X3Y0,NOC_NPS6_X0Y1,req_out,port2_in,443
NOC_NMU_HBM2E_X1Y0,NOC_NPS6_X0Y0,resp_in,port2_out,193
NOC_NMU_HBM2E_X1Y0,NOC_NPS6_X0Y0,req_out,port2_in,441
NOC_NMU_HBM2E_X0Y0,NOC_NPS6_X0Y0,resp_in,port1_out,192
NOC_NMU_HBM2E_X0Y0,NOC_NPS6_X0Y0,req_out,port1_in,440
NOC_NMU_HBM2E_X4Y0,NOC_NPS6_X0Y2,resp_in,port1_out,202
NOC_NMU_HBM2E_X4Y0,NOC_NPS6_X0Y2,req_out,port1_in,444
NOC_NMU_HBM2E_X5Y0,NOC_NPS6_X0Y2,resp_in,port2_out,203
NOC_NMU_HBM2E_X5Y0,NOC_NPS6_X0Y2,req_out,port2_in,445
NOC_NMU_HBM2E_X6Y0,NOC_NPS6_X0Y3,resp_in,port1_out,207
NOC_NMU_HBM2E_X6Y0,NOC_NPS6_X0Y3,req_out,port1_in,446
NOC_NMU_HBM2E_X7Y0,NOC_NPS6_X0Y3,resp_in,port2_out,208
NOC_NMU_HBM2E_X7Y0,NOC_NPS6_X0Y3,req_out,port2_in,447
NOC_NPS6_X0Y1,NOC_NPS4_X0Y1,port4_in,portSideA1_out,17
NOC_NPS6_X0Y1,NOC_NPS4_X0Y1,port4_out,portSideA1_in,200
NOC_NPS6_X0Y1,NOC_NPS4_X0Y0,port5_in,portSideA1_out,9
